song	type	composer	version	posted	performed	url	length	danika	jeb	tags	poster	notes
316	Cover	Eddie Van Halen	Live From The Basement	2020-10-15		https://www.youtube.com/watch?v=mPZelZSfsRk	2:54	Commentary	"Strat, Commentary"	"Official, Unlisted, Daylist 10"	Danika and the Jeb	
A Day In The Life (Behind the Scenes)	Misc			2020-02-12		https://www.youtube.com/watch?v=AIjbXVceoH	8:11	Narration	Narration	"Official, Daylist 17"	Danika and the Jeb	
_Acoustic Christmas Sessions_	Playlist					https://www.youtube.com/playlist?list=OLAK5uy_mBZh13J0GiSwCka4ifZMix_HYLssEOclQ				Album	CDBaby	Album
Ain't No Sunshine	Cover	Bill Withers	"Live at the Mill, Iowa City, 2013-02-06"	2013-05-24	2013-02-06	https://www.youtube.com/watch?v=CKF6XhhR_gI	13:50	"Vocals, Taylor Guitar"	Taylor Guitar		livemusicphotos	Guitar solos!
Ain't No Sunshine	Cover	BIll Withers	Sugarland House Concerts	2019-09-29		https://www.youtube.com/watch?v=Iui2vaP-MK8	2:17	"Vocals, Stonebridge Guitar"	Stonebridge Guitar		Lexxie Pup	
Ain't No Sunshine	Cover	Bill Withers	Bill Withers Tribute	2020-08-12		https://www.youtube.com/watch?v=It6qZCS7bjo	3:52	"Vocals, Stonebridge Guitar"	Stonebridge Guitar	"Official, Daylist 6"	Danika and the Jeb	
At Your Library	Misc			2020-02-26		https://www.youtube.com/watch?v=7xsBssUSIVs	16:56					Interview from right before the pandemic hit.
Auld Lang Syne	Cover	Lyrics by Robert Burns		2020-12-30		https://www.youtube.com/watch?v=TmyXNs4xl2U	2:05	"Vocals, Nord Keyboard"		"Official, Daylist 22"	Danika and the Jeb	
Baby It's Cold Outside	Cover	Frank Loesser	Acoustic Christmas Sessions	2020-12-03		https://www.youtube.com/watch?v=INQ7Z1IrSYE	3:08			"Official, Second Daylist"	Danika and the Jeb	
Bad Moon Rising	Cover	John Fogerty	Live From The Basement	2020-11-20		https://www.youtube.com/watch?v=AXBEu9z4TE4	2:16	Vocals	Strat	"Official, Daylist 5"	Danika and the Jeb	
"_Balance, Volume 1_"	Playlist					https://www.youtube.com/playlist?list=OLAK5uy_kjXxCAp9j7K-D-I8tadYL3lfWz_bq_gSA				Album	CDBaby	
